"扫描序号","扫描仪号","批次号","kh","xz1","xz2","xz3","xz4","xz5","xz6","xz7","xz8","xz9","xz10","xz11","xz12","xz13","xz14","xz15","xz16","xz17","xz18","xz19","xz20","xz21","xz22","xz23","xz24","xz25","xz26","xz27","xz28","xz29","xz30","xz31","xz32","xz33","xz34","xz35","xz36","xz37","xz38","xz39","xz40","p1"
000216,1,1048792,"200079","A","A","C","D","C","B","B","D","C","C","A","C","C","B","D","A","D","C","B","A","C","C","A","C","D","B","A","A","B","D","D","A","C","C","D","B","C","C","D","A","\C_IMAGES\200079_00_1_p1.TIF"
000217,1,1048792,"200080","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","B","C","A","C","D","B","D","A","B","D","C","A","C","D","B","B","C","C","D","C","\C_IMAGES\200080_00_1_p1.TIF"
000218,1,1048792,"200081","A","A","A","D","C","C","B","D","C","C","D","C","C","D","D","A","D","C","B","D","C","C","A","C","D","B","B","A","B","D","C","A","C","C","C","B","C","C","D","A","\C_IMAGES\200081_00_1_p1.TIF"
000219,1,1048792,"200082","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","A","D","C","B","B","A","C","A","C","D","A","D","A","B","D","B","A","C","C","B","B","C","C","D","C","\C_IMAGES\200082_00_1_p1.TIF"
000220,1,1048792,"200083","A","A","C","D","C","C","B","D","C","C","C","C","C","B","D","A","D","C","B","B","B","C","A","B","D","B","D","A","B","D","C","A","B","B","D","C","D","D","C","C","\C_IMAGES\200083_00_1_p1.TIF"
000221,1,1048792,"200085","A","A","C","D","C","C","B","D","C","C","A","C","C","B","D","C","D","C","B","B","A","C","A","C","D","B","A","A","B","D","C","A","C","C","D","C","D","C","D","C","\C_IMAGES\200085_00_1_p1.TIF"
000228,1,1048792,"200086","A","A","C","D","C","C","B","D","B","C","D","C","C","D","C","A","D","C","B","B","A","C","A","A","D","C","C","A","B","D","B","A","B","A","D","B","C","C","D","A","\C_IMAGES\200086_00_1_p1.TIF"
000227,1,1048792,"200087","A","A","A","D","C","C","B","D","C","C","A","C","C","B","C","A","D","C","B","B","B","C","A","C","D","B","D","A","A","D","B","A","C","C","B","B","D","C","D","A","\C_IMAGES\200087_00_1_p1.TIF"
000226,1,1048792,"200088","A","A","B","A","C","C","B","D","C","C","C","C","C","B","D","A","C","C","B","B","C","C","A","C","D","B","B","A","B","D","D","A","C","C","B","B","C","C","D","C","\C_IMAGES\200088_00_1_p1.TIF"
000225,1,1048792,"200089","A","A","C","D","C","C","B","D","C","C","D","C","C","B","C","A","D","C","B","B","B","C","A","C","D","B","D","A","A","D","D","A","C","C","B","B","D","C","D","A","\C_IMAGES\200089_00_1_p1.TIF"
000224,1,1048792,"200092","A","A","A","D","C","C","B","D","C","C","C","C","C","B","D","C","D","C","B","B","A","C","A","C","D","B","D","A","B","D","B","A","C","C","D","B","C","C","D","A","\C_IMAGES\200092_00_1_p1.TIF"
